Time_sec,Local_Field_Potential_mV
0.334,-0.059102
0.335,-0.065501
0.336,-0.045676
0.337,-0.052955
0.338,-0.0055687
0.339,-0.035394
0.34,-0.094257
0.341,-0.030027
0.342,0.019657
0.343,0.036494
0.344,0.0084312
0.345,-0.067441
0.346,0.023687
0.347,0.05954
0.348,-0.031422
0.349,-0.055841
0.35,-0.10939
0.351,-0.14123
0.352,-0.13101
0.353,-0.12883
0.354,-0.12366
0.355,-0.081036
0.356,-0.049279
0.357,-0.0053689
0.358,-0.0079703
0.359,-0.020242
0.36,-0.010502
0.361,-0.068294
0.362,-0.035276
0.363,-0.015614
0.364,-0.0023314
0.365,0.0688
0.366,0.057209
0.367,0.098236
0.368,0.11283
0.369,0.051886
0.37,0.08182
0.371,0.047496
0.372,-0.0016942
0.373,0.036786
0.374,-0.04949
0.375,-0.075019
0.376,0.015518
0.377,-0.0084589
0.378,-0.028745
0.379,-2.31E-05
0.38,0.061324
0.381,0.09042
0.382,0.067844
0.383,0.03519
0.384,0.036459
0.385,0.060961
0.386,0.075034
0.387,0.064331
0.388,0.11015
0.389,0.15088
0.39,0.11524
0.391,0.12483
0.392,0.11752
0.393,0.13332
0.394,0.1027
0.395,0.089439
0.396,0.088397
0.397,0.038035
0.398,0.074109
0.399,0.049462
0.4,0.095589
0.401,0.057832
0.402,-0.050256
0.403,-0.0048006
0.404,-0.034893
0.405,0.018726
0.406,0.029664
0.407,0.0085657
0.408,0.09086
0.409,0.11817
0.41,0.14295
0.411,0.14779
0.412,0.14093
0.413,0.14511
0.414,0.16331
0.415,0.19133
0.416,0.16244
0.417,0.11097
0.418,0.086981
0.419,0.078111
0.42,0.04501
0.421,0.0092227
0.422,0.011606
0.423,0.053809
0.424,0.09752
0.425,0.10341
0.426,0.082723
0.427,0.11224
0.428,0.19442
0.429,0.22653
0.43,0.21932
0.431,0.24165
0.432,0.20969
0.433,0.2307
0.434,0.30388
0.435,0.26461
0.436,0.24948
0.437,0.18486
0.438,0.16269
0.439,0.1932
0.44,0.12291
0.441,0.17467
0.442,0.16565
0.443,0.12234
0.444,0.12645
0.445,0.10788
0.446,0.060931
0.447,-0.029823
0.448,-0.011722
0.449,-0.0548
0.45,-0.029973
0.451,-0.0055932
0.452,-0.0014035
0.453,0.027462
0.454,-0.00071915
0.455,0.0077469
0.456,-0.00063159
0.457,-0.0080389
0.458,0.0092166
0.459,0.05643
0.46,0.030825
0.461,0.096081
0.462,0.11562
0.463,0.024163
0.464,0.049815
0.465,0.0016689
0.466,-0.012766
0.467,-0.025118
0.468,-0.087055
0.469,-0.057662
0.47,-0.053773
0.471,-0.12504
0.472,-0.10973
0.473,-0.052069
0.474,-0.099587
0.475,-0.097933
0.476,-0.050543
0.477,-0.014779
0.478,0.024326
0.479,0.026951
0.48,0.044637
0.481,0.007248
0.482,0.037604
0.483,0.14122
0.484,0.092834
0.485,0.023842
0.486,0.021955
0.487,0.033315
0.488,0.056288
0.489,0.051489
0.49,0.084392
0.491,0.1361
0.492,0.14874
0.493,0.18614
0.494,0.15819
0.495,0.11809
0.496,0.1889
0.497,0.15157
0.498,0.075683
0.499,0.11702
0.5,0.10812
0.501,0.080795
0.502,0.026222
0.503,-0.0085926
0.504,-0.026582
0.505,-0.024645
0.506,-0.0080417
0.507,-0.029855
0.508,-0.018775
0.509,0.021333
0.51,0.079684
0.511,0.085314
0.512,0.093715
0.513,0.072748
0.514,0.053339
0.515,0.11266
0.516,0.11653
0.517,0.096573
0.518,0.092118
0.519,0.055224
0.52,0.063491
0.521,0.084406
0.522,0.060165
0.523,0.068598
0.524,0.055491
0.525,0.031302
0.526,0.056071
0.527,0.10202
0.528,0.12217
0.529,0.13128
0.53,0.13863
0.531,0.12699
0.532,0.089604
0.533,0.04795
0.534,0.0073262
0.535,-0.02166
0.536,0.0028324
0.537,-0.0034465
0.538,-0.0073437
0.539,0.032976
0.54,0.0031981
0.541,0.031611
0.542,0.041009
0.543,-0.032834
0.544,0.03977
0.545,0.034758
0.546,-0.019745
0.547,0.054816
0.548,0.058242
0.549,0.10799
0.55,0.1646
0.551,0.13736
0.552,0.17566
0.553,0.21878
0.554,0.26558
0.555,0.32262
0.556,0.29636
0.557,0.23882
0.558,0.26359
0.559,0.25952
0.56,0.27133
0.561,0.35309
0.562,0.33198
0.563,0.3298
0.564,0.34143
0.565,0.30841
0.566,0.30098
0.567,0.28721
0.568,0.23982
0.569,0.23454
0.57,0.23355
0.571,0.18667
0.572,0.17439
0.573,0.15173
