Time_sec,Local_Field_Potential_mV
4.03,0.29587
4.031,0.28958
4.032,0.27627
4.033,0.28527
4.034,0.26141
4.035,0.24018
4.036,0.27036
4.037,0.27855
4.038,0.27308
4.039,0.27982
4.04,0.30752
4.041,0.32393
4.042,0.32583
4.043,0.36111
4.044,0.38968
4.045,0.39046
4.046,0.34187
4.047,0.30492
4.048,0.28513
4.049,0.25503
4.05,0.26511
4.051,0.22749
4.052,0.19362
4.053,0.19554
4.054,0.17741
4.055,0.19324
4.056,0.16879
4.057,0.15187
4.058,0.16405
4.059,0.1417
4.06,0.17055
4.061,0.20983
4.062,0.21019
4.063,0.20561
4.064,0.23099
4.065,0.22958
4.066,0.17831
4.067,0.15725
4.068,0.11002
4.069,0.079811
4.07,0.085338
4.071,0.078551
4.072,0.10615
4.073,0.1189
4.074,0.10641
4.075,0.092452
4.076,0.065654
4.077,0.063873
4.078,0.075523
4.079,0.047114
4.08,0.0017187
4.081,-0.012955
4.082,0.0020647
4.083,0.011582
4.084,0.0014345
4.085,-0.0064729
4.086,-0.024172
4.087,-0.023938
4.088,-0.0013092
4.089,-0.045388
4.09,-0.071242
4.091,-0.072652
4.092,-0.10305
4.093,-0.063349
4.094,-0.032957
4.095,-0.074087
4.096,-0.11813
4.097,-0.16888
4.098,-0.19654
4.099,-0.21939
4.1,-0.23532
4.101,-0.26769
4.102,-0.34426
4.103,-0.36715
4.104,-0.33953
4.105,-0.30805
4.106,-0.29237
4.107,-0.26402
4.108,-0.24256
4.109,-0.22139
4.11,-0.17405
4.111,-0.1525
4.112,-0.1389
4.113,-0.1255
4.114,-0.13905
4.115,-0.15307
4.116,-0.16971
4.117,-0.18925
4.118,-0.21255
4.119,-0.25226
4.12,-0.26753
4.121,-0.26713
4.122,-0.29363
4.123,-0.29479
4.124,-0.26657
4.125,-0.28483
4.126,-0.29192
4.127,-0.27687
4.128,-0.29066
4.129,-0.3074
4.13,-0.2932
4.131,-0.2769
4.132,-0.27931
4.133,-0.26571
4.134,-0.25205
4.135,-0.26571
4.136,-0.27078
4.137,-0.23471
4.138,-0.18906
4.139,-0.17579
4.14,-0.1836
4.141,-0.17148
4.142,-0.18227
4.143,-0.21294
4.144,-0.20573
4.145,-0.20924
4.146,-0.24457
4.147,-0.30287
4.148,-0.31815
4.149,-0.26472
4.15,-0.22049
4.151,-0.21213
4.152,-0.23012
4.153,-0.22305
4.154,-0.21487
4.155,-0.20759
4.156,-0.19051
4.157,-0.18381
4.158,-0.21303
4.159,-0.25372
4.16,-0.24821
4.161,-0.25305
4.162,-0.22442
4.163,-0.2107
4.164,-0.22332
4.165,-0.19955
4.166,-0.20865
4.167,-0.22672
4.168,-0.25631
4.169,-0.26953
4.17,-0.2641
4.171,-0.26034
4.172,-0.2213
4.173,-0.20266
4.174,-0.19768
4.175,-0.17255
4.176,-0.13883
4.177,-0.090674
4.178,-0.056255
4.179,-0.051411
4.18,-0.042356
4.181,-0.038364
4.182,-0.046595
4.183,-0.05373
4.184,-0.049489
4.185,-0.052553
4.186,-0.087446
4.187,-0.083268
4.188,-0.067965
4.189,-0.059057
4.19,-0.024657
4.191,-0.01289
4.192,0.012035
4.193,0.056641
4.194,0.070667
4.195,0.072192
4.196,0.036779
4.197,0.018476
4.198,0.023648
4.199,0.028462
4.2,0.065445
4.201,0.033618
4.202,-0.012273
4.203,-0.028928
4.204,-0.057333
4.205,-0.076761
4.206,-0.10484
4.207,-0.11486
4.208,-0.1052
4.209,-0.083723
4.21,-0.04001
4.211,-0.030177
4.212,-0.049815
4.213,-0.043669
4.214,-0.024974
4.215,-0.0096688
4.216,0.0034438
4.217,0.0042211
4.218,-0.017693
4.219,-0.050567
4.22,-0.057157
4.221,-0.031727
4.222,-0.014176
4.223,0.0087337
4.224,0.048313
4.225,0.062722
4.226,0.077873
4.227,0.098022
4.228,0.12474
4.229,0.14729
4.23,0.15505
4.231,0.15978
4.232,0.15834
4.233,0.1818
4.234,0.15985
4.235,0.13477
4.236,0.12553
4.237,0.088533
4.238,0.096724
4.239,0.10079
4.24,0.1074
4.241,0.12963
4.242,0.12581
4.243,0.15274
4.244,0.18829
4.245,0.18141
4.246,0.18962
4.247,0.20024
4.248,0.1828
4.249,0.17289
4.25,0.1509
4.251,0.12301
4.252,0.086158
4.253,0.058405
4.254,0.086209
4.255,0.11492
4.256,0.12376
4.257,0.12899
4.258,0.14025
4.259,0.18367
4.26,0.21338
4.261,0.22888
4.262,0.2503
4.263,0.2619
4.264,0.26434
4.265,0.24361
4.266,0.23923
4.267,0.22321
4.268,0.19355
4.269,0.18509
4.27,0.15497
4.271,0.11792
4.272,0.095828
4.273,0.072959
4.274,0.063544
4.275,0.061189
4.276,0.059055
4.277,0.072965
4.278,0.052287
4.279,0.037202
4.28,0.031855
4.281,0.009418
4.282,-0.014764
4.283,-0.020347
4.284,-0.037741
4.285,-0.087248
4.286,-0.098297
4.287,-0.10884
4.288,-0.10227
4.289,-0.11247
4.29,-0.15509
4.291,-0.15506
4.292,-0.14425
4.293,-0.13833
4.294,-0.15827
4.295,-0.13317
4.296,-0.10438
4.297,-0.10522
4.298,-0.062444
4.299,-0.040425
4.3,-0.032538
4.301,-0.054923
4.302,-0.11295
4.303,-0.16251
4.304,-0.24835
4.305,-0.32341
4.306,-0.32602
4.307,-0.31999
4.308,-0.29592
4.309,-0.25002
4.31,-0.21335
4.311,-0.15491
4.312,-0.10308
4.313,-0.085595
4.314,-0.087338
4.315,-0.099009
4.316,-0.1065
4.317,-0.098286
4.318,-0.12398
4.319,-0.14712
4.32,-0.12664
4.321,-0.10215
4.322,-0.081058
4.323,-0.056234
4.324,-0.020782
4.325,-0.0036116
4.326,0.019197
4.327,0.070452
4.328,0.091717
4.329,0.094178
4.33,0.10374
4.331,0.08287
4.332,0.042383
4.333,0.04221
4.334,0.023183
4.335,-0.015026
4.336,-0.013517
4.337,-0.017371
4.338,0.00034433
4.339,-0.0022455
4.34,-0.026214
4.341,-0.010031
4.342,-0.013117
4.343,-0.01962
4.344,0.013075
4.345,0.038286
4.346,0.052105
4.347,0.047093
4.348,0.00068507
4.349,-0.015047
4.35,-0.0063489
4.351,-0.023697
4.352,-0.061756
4.353,-0.064832
4.354,-0.02729
4.355,0.0070822
4.356,0.022749
4.357,0.032022
4.358,0.043517
4.359,0.040347
4.36,0.053648
4.361,0.054252
4.362,0.030703
4.363,0.021348
4.364,0.010752
4.365,0.027731
4.366,0.039892
4.367,0.043248
4.368,0.061387
4.369,0.079231
4.37,0.12335
4.371,0.15029
4.372,0.18092
4.373,0.21048
4.374,0.18465
4.375,0.17128
4.376,0.18123
4.377,0.18224
4.378,0.19654
4.379,0.2009
4.38,0.16933
4.381,0.15901
4.382,0.16844
4.383,0.16139
4.384,0.10699
4.385,0.032515
4.386,0.019415
4.387,0.0066561
4.388,-0.028618
4.389,-0.060606
4.39,-0.093089
4.391,-0.13218
4.392,-0.16157
4.393,-0.14435
4.394,-0.124
4.395,-0.13714
4.396,-0.17812
4.397,-0.18282
4.398,-0.14801
4.399,-0.14914
4.4,-0.16401
4.401,-0.15812
4.402,-0.17902
4.403,-0.19056
4.404,-0.15831
4.405,-0.14922
4.406,-0.15124
4.407,-0.15203
4.408,-0.13361
4.409,-0.10826
4.41,-0.081692
4.411,-0.052237
4.412,-0.070686
4.413,-0.078376
4.414,-0.063372
4.415,-0.067477
4.416,-0.10663
4.417,-0.12034
4.418,-0.13212
4.419,-0.19793
4.42,-0.19987
4.421,-0.20733
4.422,-0.24394
4.423,-0.19096
4.424,-0.16757
4.425,-0.18529
4.426,-0.17268
4.427,-0.13209
4.428,-0.069382
4.429,-0.061515
4.43,-0.057462
4.431,-0.014167
4.432,0.0019909
4.433,-0.0035087
4.434,0.012638
4.435,0.012134
4.436,-0.0059183
4.437,-0.0015522
4.438,0.012363
4.439,0.015352
4.44,0.019989
4.441,0.026217
4.442,0.01189
4.443,0.020875
4.444,0.043358
4.445,0.057031
4.446,0.060544
4.447,0.057598
4.448,0.070414
4.449,0.066062
4.45,0.062978
4.451,0.045062
4.452,0.017932
4.453,0.0063578
4.454,-0.016398
4.455,-0.015047
4.456,-0.018499
4.457,-0.036473
4.458,-0.0523
4.459,-0.068821
4.46,-0.057086
4.461,0.0012375
4.462,0.050776
4.463,0.052058
4.464,0.079165
4.465,0.083041
4.466,0.066062
4.467,0.095143
4.468,0.073603
4.469,0.05009
4.47,0.056645
4.471,0.058104
4.472,0.077426
4.473,0.085859
4.474,0.085865
4.475,0.052259
4.476,0.050309
4.477,0.06836
4.478,0.011559
4.479,-0.0111
4.48,-0.002165
4.481,-0.014125
4.482,-0.016867
4.483,-0.028422
4.484,-0.029612
4.485,-0.057462
4.486,-0.063337
4.487,-0.015916
4.488,-0.0080654
4.489,0.0046248
4.49,0.038833
4.491,0.059571
4.492,0.058986
4.493,0.058894
4.494,0.064803
4.495,0.035397
4.496,0.022197
4.497,0.005014
4.498,0.0068807
4.499,0.032708
4.5,0.012784
4.501,0.018308
4.502,0.0098714
4.503,-0.014706
4.504,0.011831
4.505,0.018973
4.506,0.0022605
4.507,0.0019998
4.508,-0.0044502
4.509,0.017289
4.51,0.050151
4.511,0.058428
4.512,0.068654
4.513,0.091267
4.514,0.11627
4.515,0.13039
4.516,0.14822
4.517,0.15549
4.518,0.17185
4.519,0.18305
4.52,0.16713
4.521,0.17689
4.522,0.16982
4.523,0.13904
4.524,0.091652
4.525,0.059034
4.526,0.055963
4.527,0.0064562
4.528,-0.01917
4.529,-0.027288
4.53,-0.039886
4.531,-0.024829
4.532,-0.035274
4.533,-0.053376
4.534,-0.061196
4.535,-0.075221
4.536,-0.085699
4.537,-0.08198
4.538,-0.076288
4.539,-0.07774
4.54,-0.087622
4.541,-0.069936
4.542,-0.036397
4.543,0.0051342
4.544,0.048673
4.545,0.026001
4.546,-0.0043385
4.547,0.0033484
4.548,0.00039724
4.549,-0.0060469
4.55,0.0050698
4.551,0.031046
4.552,0.039955
4.553,0.038813
4.554,0.032425
4.555,0.025299
4.556,0.036448
4.557,0.05086
4.558,0.054483
4.559,0.05457
4.56,0.065029
4.561,0.061159
4.562,0.070522
4.563,0.097037
4.564,0.10498
4.565,0.13424
4.566,0.1606
4.567,0.16718
4.568,0.15549
4.569,0.11986
4.57,0.11652
4.571,0.10906
4.572,0.10355
4.573,0.12117
4.574,0.11108
4.575,0.1267
4.576,0.15588
4.577,0.16617
4.578,0.1936
4.579,0.22674
4.58,0.23238
4.581,0.22378
4.582,0.24727
4.583,0.27567
4.584,0.26086
4.585,0.22987
4.586,0.23123
4.587,0.21397
4.588,0.17908
4.589,0.20214
4.59,0.23444
4.591,0.2331
4.592,0.23837
4.593,0.2461
4.594,0.23886
4.595,0.22853
4.596,0.18373
4.597,0.11395
4.598,0.05253
4.599,0.035606
4.6,0.045077
4.601,0.019852
4.602,-0.021066
4.603,-0.053461
4.604,-0.068305
4.605,-0.057016
4.606,-0.066814
4.607,-0.085825
4.608,-0.11219
4.609,-0.11363
4.61,-0.064766
4.611,-0.043006
4.612,-0.043301
4.613,-0.037021
4.614,-0.016707
4.615,-0.0078364
4.616,-0.045277
4.617,-0.05283
4.618,-0.083737
4.619,-0.14561
4.62,-0.13475
4.621,-0.14988
4.622,-0.13268
4.623,-0.10119
4.624,-0.10842
4.625,-0.096866
4.626,-0.12393
4.627,-0.13329
4.628,-0.11787
4.629,-0.11672
4.63,-0.10967
4.631,-0.11114
4.632,-0.11692
4.633,-0.11687
4.634,-0.12232
4.635,-0.13262
4.636,-0.11707
4.637,-0.10573
4.638,-0.12089
4.639,-0.11553
4.64,-0.11398
4.641,-0.12471
4.642,-0.13618
4.643,-0.12757
4.644,-0.10937
4.645,-0.11959
4.646,-0.11619
4.647,-0.13087
4.648,-0.15382
4.649,-0.14596
4.65,-0.18555
4.651,-0.23725
4.652,-0.26019
4.653,-0.28363
4.654,-0.30957
4.655,-0.34442
4.656,-0.35368
4.657,-0.36036
4.658,-0.38989
4.659,-0.39261
4.66,-0.39544
4.661,-0.37231
4.662,-0.32556
4.663,-0.30522
4.664,-0.27661
4.665,-0.27988
4.666,-0.28782
4.667,-0.2766
4.668,-0.29409
4.669,-0.30181
4.67,-0.27215
4.671,-0.24611
4.672,-0.22962
4.673,-0.20281
4.674,-0.16677
4.675,-0.1615
4.676,-0.15558
4.677,-0.11424
4.678,-0.11248
4.679,-0.096222
4.68,-0.083478
4.681,-0.062092
4.682,-0.048144
4.683,-0.089716
4.684,-0.090562
4.685,-0.10556
4.686,-0.11477
4.687,-0.10813
4.688,-0.088807
4.689,-0.053104
4.69,-0.025224
4.691,0.020442
4.692,0.013013
4.693,0.016145
4.694,0.032537
4.695,0.033823
4.696,0.049511
4.697,0.024804
4.698,-0.0027931
4.699,-0.0093823
4.7,0.015578
4.701,0.032183
4.702,-3.21E-05
4.703,-0.0065136
4.704,-0.0031969
4.705,-0.0093479
4.706,-0.017931
4.707,-0.0052453
4.708,0.016567
4.709,0.018218
4.71,0.034956
4.711,0.057119
4.712,0.080127
4.713,0.082438
4.714,0.067905
4.715,0.053445
4.716,0.036782
4.717,0.044962
4.718,0.0098874
4.719,-0.029132
4.72,0.003811
4.721,0.0042172
4.722,0.0087822
4.723,0.036815
4.724,0.016939
4.725,-0.0075768
4.726,-0.0044911
4.727,0.035163
4.728,0.037266
4.729,0.012793
4.73,0.021107
4.731,0.011418
4.732,0.00021328
4.733,-0.0064109
4.734,-0.015332
4.735,-0.020744
4.736,-0.039205
4.737,-0.062256
4.738,-0.069146
4.739,-0.088283
4.74,-0.10275
4.741,-0.08987
4.742,-0.11471
4.743,-0.11359
4.744,-0.091816
4.745,-0.077576
4.746,-0.088104
4.747,-0.14127
4.748,-0.18956
4.749,-0.24412
4.75,-0.23059
4.751,-0.24293
4.752,-0.2961
4.753,-0.26248
4.754,-0.26446
4.755,-0.25816
4.756,-0.22842
4.757,-0.24798
4.758,-0.2449
4.759,-0.27036
4.76,-0.31471
4.761,-0.33493
4.762,-0.32167
4.763,-0.29974
4.764,-0.31589
4.765,-0.32067
4.766,-0.31716
4.767,-0.37276
4.768,-0.42392
4.769,-0.40284
4.77,-0.37473
4.771,-0.33412
4.772,-0.30716
4.773,-0.32646
4.774,-0.32052
4.775,-0.28999
4.776,-0.2449
4.777,-0.21596
4.778,-0.18398
4.779,-0.12869
4.78,-0.11897
4.781,-0.12008
4.782,-0.11181
4.783,-0.10502
4.784,-0.11344
4.785,-0.15926
4.786,-0.16388
4.787,-0.16898
4.788,-0.21998
4.789,-0.23685
4.79,-0.23923
4.791,-0.22254
4.792,-0.22026
4.793,-0.22174
4.794,-0.17978
4.795,-0.1497
4.796,-0.11274
4.797,-0.086403
4.798,-0.095058
4.799,-0.082756
4.8,-0.048905
4.801,-0.02293
4.802,-0.050722
4.803,-0.10415
4.804,-0.092541
4.805,-0.077582
4.806,-0.10075
4.807,-0.11203
4.808,-0.1036
4.809,-0.077521
4.81,-0.040658
4.811,-0.016111
4.812,0.0072826
4.813,0.028818
4.814,0.040312
4.815,0.047879
4.816,0.029267
4.817,0.02326
4.818,0.0099631
4.819,-0.01507
4.82,-0.021073
4.821,-0.015884
4.822,0.014029
4.823,0.030235
4.824,0.035115
4.825,0.037067
4.826,0.04571
4.827,0.080418
4.828,0.090402
4.829,0.056177
4.83,0.039845
4.831,0.043485
4.832,0.034971
4.833,0.054541
4.834,0.064023
4.835,0.046131
4.836,0.027993
4.837,0.049424
4.838,0.09262
4.839,0.10713
4.84,0.10707
4.841,0.088296
4.842,0.08142
4.843,0.074554
4.844,0.082712
4.845,0.10499
4.846,0.089034
4.847,0.085437
4.848,0.11387
4.849,0.12749
4.85,0.13753
4.851,0.14419
4.852,0.08963
4.853,0.074014
4.854,0.073631
4.855,0.051397
4.856,0.08489
4.857,0.042344
4.858,0.0031043
4.859,0.02121
4.86,0.03602
4.861,0.084302
4.862,0.064964
4.863,0.060568
4.864,0.090252
4.865,0.09528
4.866,0.092499
4.867,0.058581
4.868,0.072979
4.869,0.080754
4.87,0.070114
4.871,0.083259
4.872,0.086758
4.873,0.084933
4.874,0.076909
4.875,0.046965
4.876,0.033438
4.877,0.082009
4.878,0.11112
4.879,0.11647
4.88,0.1279
4.881,0.12826
4.882,0.13151
4.883,0.11804
4.884,0.080329
4.885,0.043376
4.886,0.010446
4.887,-5.26E-05
4.888,0.02723
4.889,0.019749
4.89,0.0060816
4.891,0.01005
4.892,0.015449
4.893,0.036304
4.894,0.037317
4.895,0.021472
4.896,0.0084001
4.897,-0.01582
4.898,-0.037261
4.899,-0.022186
4.9,-0.054412
4.901,-0.10253
4.902,-0.13282
4.903,-0.16008
4.904,-0.15074
4.905,-0.1488
4.906,-0.14029
4.907,-0.12867
4.908,-0.087079
4.909,-0.06117
4.91,-0.067907
4.911,-0.051386
4.912,-0.055559
4.913,-0.046424
4.914,-0.059369
4.915,-0.061368
4.916,-0.045309
4.917,-0.029847
4.918,-0.004661
4.919,-0.019171
4.92,-0.049629
4.921,-0.067895
4.922,-0.036764
4.923,-0.0066426
4.924,-0.010785
4.925,-0.02303
4.926,0.0047847
4.927,0.044816
4.928,0.029691
4.929,0.029496
4.93,0.012437
4.931,-0.045161
4.932,-0.055268
4.933,-0.0036046
4.934,0.021734
4.935,0.0055372
4.936,0.0046714
4.937,0.0034155
4.938,0.022796
4.939,0.027093
4.94,0.0054135
4.941,0.00248
4.942,0.024867
4.943,0.045837
4.944,0.026999
4.945,0.041297
4.946,0.041633
4.947,0.018587
4.948,0.0092922
4.949,-0.011252
4.95,-0.0086036
4.951,-0.039512
4.952,-0.097484
4.953,-0.11682
4.954,-0.1303
4.955,-0.14921
4.956,-0.13442
4.957,-0.096785
4.958,-0.10114
4.959,-0.11454
4.96,-0.099527
4.961,-0.10734
4.962,-0.099812
4.963,-0.084527
4.964,-0.12973
4.965,-0.12354
4.966,-0.071554
4.967,-0.071273
4.968,-0.05802
4.969,-0.0090196
4.97,0.019042
4.971,0.020241
4.972,0.018814
4.973,0.028454
4.974,0.058401
4.975,0.047114
4.976,0.012686
4.977,0.015708
4.978,0.016548
4.979,0.027972
4.98,0.025817
4.981,0.023388
4.982,0.020685
4.983,-0.0048824
4.984,0.016717
4.985,0.022791
4.986,0.014974
4.987,0.022965
4.988,0.016906
4.989,0.043921
4.99,0.06552
4.991,0.059034
4.992,0.075671
4.993,0.090727
4.994,0.09828
4.995,0.10416
4.996,0.098197
4.997,0.098342
4.998,0.1061
4.999,0.10838
5,0.11486
5.001,0.11013
5.002,0.041694
5.003,-0.007727
5.004,-0.010717
5.005,-0.034125
5.006,-0.056232
5.007,-0.069285
5.008,-0.07047
5.009,-0.075319
5.01,-0.063832
5.011,-0.031862
5.012,0.0073345
5.013,0.027542
5.014,0.0010242
5.015,-0.014607
5.016,-0.019447
5.017,-0.037714
5.018,-0.090276
5.019,-0.10905
5.02,-0.092255
5.021,-0.1016
5.022,-0.081789
5.023,-0.055419
5.024,-0.022567
5.025,0.010761
5.026,0.0083426
5.027,0.015321
5.028,0.037791
5.029,0.01785
5.03,-0.0054063
5.031,-0.0035301
5.032,0.0099008
5.033,0.026226
5.034,-0.0099512
5.035,-0.026316
5.036,-0.020958
5.037,-0.038833
5.038,-0.025064
5.039,-0.016422
5.04,-0.061233
5.041,-0.10282
5.042,-0.076079
5.043,-0.030594
5.044,-0.01569
5.045,0.00052849
5.046,0.020241
5.047,0.020552
5.048,0.041297
5.049,0.049511
5.05,0.013653
5.051,-0.0023601
5.052,-0.013697
5.053,-0.017055
5.054,0.017949
5.055,0.033405
5.056,0.054564
5.057,0.092467
5.058,0.10314
5.059,0.12937
5.06,0.17793
5.061,0.19628
5.062,0.18569
5.063,0.1747
5.064,0.15991
5.065,0.12649
5.066,0.10721
5.067,0.096722
5.068,0.0762
5.069,0.087635
5.07,0.076374
5.071,0.059591
5.072,0.099206
5.073,0.12162
5.074,0.16027
5.075,0.21673
5.076,0.23885
5.077,0.27124
5.078,0.27598
5.079,0.23862
5.08,0.20005
5.081,0.15588
5.082,0.14021
5.083,0.12933
5.084,0.090375
5.085,0.053199
5.086,0.027775
5.087,-0.0052445
5.088,-0.03567
5.089,-0.026915
5.09,-0.02585
5.091,-0.035088
5.092,-0.044453
5.093,-0.037707
5.094,0.0030894
5.095,0.043813
5.096,0.060586
5.097,0.04227
5.098,0.02628
5.099,0.033752
5.1,0.052519
5.101,0.064449
5.102,0.062763
5.103,0.056945
5.104,0.073668
5.105,0.12403
5.106,0.13693
5.107,0.15569
5.108,0.19701
5.109,0.19982
5.11,0.22464
5.111,0.25169
5.112,0.25669
5.113,0.24363
5.114,0.21172
5.115,0.18761
5.116,0.15916
5.117,0.125
5.118,0.073948
5.119,0.045389
5.12,0.023803
5.121,-0.0076446
5.122,-0.013347
5.123,-0.02924
5.124,-0.032042
5.125,-0.055064
5.126,-0.074572
5.127,-0.037322
5.128,-0.0089491
5.129,0.023378
5.13,0.021199
5.131,0.0070565
5.132,0.014734
5.133,0.010838
5.134,0.054728
5.135,0.089732
5.136,0.061365
5.137,0.070932
5.138,0.092877
5.139,0.096592
5.14,0.13933
5.141,0.1527
5.142,0.15301
5.143,0.17575
5.144,0.1682
5.145,0.16297
5.146,0.1513
5.147,0.15424
5.148,0.16535
5.149,0.15906
5.15,0.17328
5.151,0.15254
5.152,0.11717
5.153,0.12079
5.154,0.13515
5.155,0.13626
5.156,0.12042
5.157,0.098081
5.158,0.080202
5.159,0.063396
5.16,0.04859
5.161,0.044492
5.162,0.03639
5.163,0.0086806
5.164,-0.0021186
5.165,0.0099772
5.166,-0.0019748
5.167,-0.016955
5.168,-0.031012
5.169,-0.026241
5.17,-0.03559
5.171,-0.079158
5.172,-0.078087
5.173,-0.051377
5.174,-0.028251
5.175,-0.011239
5.176,0.033128
5.177,0.083168
5.178,0.092454
5.179,0.091791
5.18,0.096459
5.181,0.10285
5.182,0.092924
5.183,0.1171
5.184,0.12939
5.185,0.10608
5.186,0.11017
5.187,0.089928
5.188,0.071634
5.189,0.071127
5.19,0.044432
5.191,0.050323
5.192,0.065803
5.193,0.068039
5.194,0.074088
5.195,0.085087
5.196,0.11139
5.197,0.091971
5.198,0.074831
5.199,0.066062
5.2,0.026774
5.201,-0.011804
5.202,-0.03181
5.203,-0.03101
5.204,-0.056307
5.205,-0.080266
5.206,-0.066144
5.207,-0.027397
5.208,-0.022622
5.209,-0.027783
5.21,-0.011218
5.211,-0.015138
5.212,0.032235
5.213,0.071107
5.214,0.03511
5.215,0.011302
5.216,-0.01803
5.217,-0.04444
5.218,-0.058549
5.219,-0.077652
5.22,-0.091869
5.221,-0.11425
5.222,-0.093167
5.223,-0.059582
5.224,-0.048177
5.225,-0.031294
5.226,-0.013561
5.227,0.016414
5.228,0.033599
5.229,0.035147
5.23,0.038536
5.231,0.0059319
5.232,-0.038953
5.233,-0.038916
5.234,-0.052363
5.235,-0.075578
5.236,-0.099225
5.237,-0.15599
5.238,-0.1948
5.239,-0.21641
5.24,-0.21512
5.241,-0.22166
5.242,-0.23184
5.243,-0.18543
5.244,-0.14809
5.245,-0.11613
5.246,-0.088545
5.247,-0.082175
5.248,-0.04608
5.249,-0.017142
5.25,0.0068237
5.251,0.01173
5.252,-0.0040319
5.253,-0.0042375
5.254,-0.0049158
5.255,-0.025083
5.256,-0.028932
5.257,-0.0091673
5.258,-0.0036155
5.259,0.0095239
5.26,0.032633
5.261,0.067032
5.262,0.088953
5.263,0.085734
5.264,0.08691
5.265,0.054149
5.266,0.040742
5.267,0.028344
5.268,-0.019655
5.269,-0.022919
5.27,-0.055521
5.271,-0.07407
5.272,-0.062997
5.273,-0.074318
5.274,-0.058313
5.275,-0.06818
5.276,-0.057511
5.277,-0.02538
5.278,-0.044416
5.279,-0.055151
5.28,-0.054124
5.281,-0.059281
5.282,-0.064645
5.283,-0.11208
5.284,-0.16707
5.285,-0.17719
5.286,-0.18024
5.287,-0.22722
5.288,-0.27344
5.289,-0.27785
5.29,-0.29473
5.291,-0.30897
5.292,-0.2896
5.293,-0.24823
5.294,-0.20183
5.295,-0.17955
5.296,-0.16661
5.297,-0.13938
5.298,-0.13758
5.299,-0.14053
5.3,-0.13224
5.301,-0.14545
5.302,-0.17789
5.303,-0.21246
5.304,-0.25627
5.305,-0.31975
5.306,-0.3386
5.307,-0.33754
5.308,-0.35196
5.309,-0.34722
5.31,-0.33244
5.311,-0.32013
5.312,-0.31745
5.313,-0.31828
5.314,-0.34969
5.315,-0.36031
5.316,-0.36609
5.317,-0.38056
5.318,-0.31002
5.319,-0.26658
5.32,-0.2622
5.321,-0.21952
5.322,-0.19214
5.323,-0.16675
5.324,-0.14512
5.325,-0.13868
5.326,-0.097995
5.327,-0.048956
5.328,-0.027311
5.329,-0.0050346
5.33,-0.011077
5.331,-0.035004
5.332,-0.03214
5.333,-0.030089
5.334,-0.049899
5.335,-0.12062
5.336,-0.17793
5.337,-0.20835
5.338,-0.232
5.339,-0.22658
5.34,-0.22939
5.341,-0.22475
5.342,-0.2014
5.343,-0.16786
5.344,-0.13303
5.345,-0.14852
5.346,-0.15831
5.347,-0.13663
5.348,-0.15111
5.349,-0.15226
5.35,-0.16679
5.351,-0.15399
5.352,-0.14595
5.353,-0.18753
5.354,-0.15608
5.355,-0.13486
5.356,-0.13192
5.357,-0.10178
5.358,-0.073188
5.359,-0.034906
5.36,0.012292
5.361,0.061259
5.362,0.077487
5.363,0.086185
5.364,0.10578
5.365,0.1025
5.366,0.10107
5.367,0.09224
5.368,0.063206
5.369,0.038375
5.37,0.027115
5.371,0.057732
5.372,0.074446
5.373,0.065886
5.374,0.043482
5.375,0.015853
5.376,0.044629
5.377,0.056624
5.378,0.025318
5.379,0.0092385
5.38,0.026801
5.381,0.03496
5.382,0.019672
5.383,0.039071
5.384,0.074923
5.385,0.058301
5.386,0.022808
5.387,0.021559
5.388,0.016795
5.389,-0.0067668
5.39,-0.024081
5.391,-0.034557
5.392,-0.045051
5.393,-0.02575
5.394,-0.0032116
5.395,0.031338
5.396,0.10325
5.397,0.10369
5.398,0.11433
5.399,0.16308
5.4,0.16198
5.401,0.17792
5.402,0.17854
5.403,0.18148
5.404,0.18386
5.405,0.14867
5.406,0.1561
5.407,0.16623
5.408,0.14198
5.409,0.15212
5.41,0.17196
5.411,0.16963
5.412,0.17827
5.413,0.17005
5.414,0.15857
5.415,0.17983
5.416,0.20532
5.417,0.21252
5.418,0.18978
5.419,0.15649
5.42,0.12533
5.421,0.10239
5.422,0.10003
5.423,0.088665
5.424,0.086913
5.425,0.082694
5.426,0.094172
5.427,0.10773
5.428,0.097738
5.429,0.11193
5.43,0.10161
5.431,0.095688
5.432,0.084983
5.433,0.083597
5.434,0.090205
5.435,0.062633
5.436,0.043673
5.437,-0.0022378
5.438,-0.0098694
5.439,0.033205
5.44,0.056217
5.441,0.067706
5.442,0.076465
5.443,0.14033
5.444,0.18832
5.445,0.18952
5.446,0.22885
5.447,0.25361
5.448,0.23715
5.449,0.21316
5.45,0.18499
5.451,0.15539
5.452,0.12583
5.453,0.13703
5.454,0.15658
5.455,0.16212
5.456,0.18017
5.457,0.18987
5.458,0.18464
5.459,0.16179
5.46,0.16556
5.461,0.17865
5.462,0.18914
5.463,0.21597
5.464,0.23005
5.465,0.23098
5.466,0.22302
5.467,0.23214
5.468,0.21868
5.469,0.20367
5.47,0.19205
5.471,0.17084
5.472,0.19291
5.473,0.20227
5.474,0.19256
5.475,0.20658
5.476,0.25276
5.477,0.27243
5.478,0.26373
5.479,0.26723
5.48,0.23992
5.481,0.25439
5.482,0.26121
5.483,0.21409
5.484,0.21234
5.485,0.18505
5.486,0.15863
5.487,0.1561
5.488,0.1314
5.489,0.13708
5.49,0.12
5.491,0.09085
5.492,0.10916
